model,dataset,split,rmse,mae,r2,inversed,model_path
"DecisionTreeRegressor (max_depth=None, min_samples_split=2, min_samples_leaf=1)",hot,train,0.0,0.0,1.0,False,../models/dt_None_depth_2_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=2, min_samples_leaf=1)",hot,val,114.843,57.6718,0.6155,False,../models/dt_None_depth_2_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=2, min_samples_leaf=1)",hot,test,118.9618,59.2619,0.5933,False,../models/dt_None_depth_2_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=2, min_samples_leaf=5)",hot,train,67.697,38.9204,0.8659,False,../models/dt_None_depth_2_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=2, min_samples_leaf=5)",hot,val,109.4714,64.8469,0.6506,False,../models/dt_None_depth_2_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=2, min_samples_leaf=5)",hot,test,110.6531,65.9055,0.6482,False,../models/dt_None_depth_2_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=2, min_samples_leaf=10)",hot,train,83.2462,50.1956,0.7972,False,../models/dt_None_depth_2_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=2, min_samples_leaf=10)",hot,val,108.6802,65.7133,0.6557,False,../models/dt_None_depth_2_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=2, min_samples_leaf=10)",hot,test,108.3323,66.9249,0.6628,False,../models/dt_None_depth_2_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=2, min_samples_leaf=20)",hot,train,93.6564,57.7775,0.7433,False,../models/dt_None_depth_2_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=2, min_samples_leaf=20)",hot,val,109.0477,66.7319,0.6533,False,../models/dt_None_depth_2_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=2, min_samples_leaf=20)",hot,test,107.8093,66.9848,0.666,False,../models/dt_None_depth_2_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=10, min_samples_leaf=1)",hot,train,51.0897,27.1097,0.9236,False,../models/dt_None_depth_10_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=10, min_samples_leaf=1)",hot,val,110.6054,62.0224,0.6433,False,../models/dt_None_depth_10_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=10, min_samples_leaf=1)",hot,test,113.6316,63.7635,0.629,False,../models/dt_None_depth_10_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=10, min_samples_leaf=5)",hot,train,67.697,38.9204,0.8659,False,../models/dt_None_depth_10_minsplit_5_minleaf_hot.pkl
