model,dataset,split,rmse,mae,r2,inversed,model_path
"KNeighborsRegressor (k=5, weights=uniform, metric=euclidean)",hot_norm,train,0.0616,0.0379,0.7644,False,../models/knn_5_neighbors_uniform_euclidean_hot_norm.pkl
"KNeighborsRegressor (k=5, weights=uniform, metric=euclidean)",hot_norm,train,89.7294,55.2743,0.7644,True,../models/knn_5_neighbors_uniform_euclidean_hot_norm.pkl
"KNeighborsRegressor (k=5, weights=uniform, metric=euclidean)",hot_norm,val,0.0777,0.0472,0.6258,False,../models/knn_5_neighbors_uniform_euclidean_hot_norm.pkl
"KNeighborsRegressor (k=5, weights=uniform, metric=euclidean)",hot_norm,val,113.2998,68.8647,0.6258,True,../models/knn_5_neighbors_uniform_euclidean_hot_norm.pkl
"KNeighborsRegressor (k=5, weights=uniform, metric=euclidean)",hot_norm,test,0.0774,0.048,0.6346,False,../models/knn_5_neighbors_uniform_euclidean_hot_norm.pkl
"KNeighborsRegressor (k=5, weights=uniform, metric=euclidean)",hot_norm,test,112.77,69.9251,0.6346,True,../models/knn_5_neighbors_uniform_euclidean_hot_norm.pkl
"KNeighborsRegressor (k=5, weights=uniform, metric=manhattan)",hot_norm,train,0.0615,0.0379,0.7651,False,../models/knn_5_neighbors_uniform_manhattan_hot_norm.pkl
"KNeighborsRegressor (k=5, weights=uniform, metric=manhattan)",hot_norm,train,89.5991,55.1792,0.7651,True,../models/knn_5_neighbors_uniform_manhattan_hot_norm.pkl
"KNeighborsRegressor (k=5, weights=uniform, metric=manhattan)",hot_norm,val,0.0778,0.0472,0.6251,False,../models/knn_5_neighbors_uniform_manhattan_hot_norm.pkl
"KNeighborsRegressor (k=5, weights=uniform, metric=manhattan)",hot_norm,val,113.4062,68.7238,0.6251,True,../models/knn_5_neighbors_uniform_manhattan_hot_norm.pkl
"KNeighborsRegressor (k=5, weights=uniform, metric=manhattan)",hot_norm,test,0.0768,0.0475,0.6398,False,../models/knn_5_neighbors_uniform_manhattan_hot_norm.pkl
"KNeighborsRegressor (k=5, weights=uniform, metric=manhattan)",hot_norm,test,111.955,69.1909,0.6398,True,../models/knn_5_neighbors_uniform_manhattan_hot_norm.pkl
"KNeighborsRegressor (k=5, weights=distance, metric=euclidean)",hot_norm,train,0.0001,0.0,1.0,False,../models/knn_5_neighbors_distance_euclidean_hot_norm.pkl
"KNeighborsRegressor (k=5, weights=distance, metric=euclidean)",hot_norm,train,0.1568,0.0029,1.0,True,../models/knn_5_neighbors_distance_euclidean_hot_norm.pkl
"KNeighborsRegressor (k=5, weights=distance, metric=euclidean)",hot_norm,val,0.0775,0.0462,0.6279,False,../models/knn_5_neighbors_distance_euclidean_hot_norm.pkl
"KNeighborsRegressor (k=5, weights=distance, metric=euclidean)",hot_norm,val,112.9758,67.2692,0.6279,True,../models/knn_5_neighbors_distance_euclidean_hot_norm.pkl
"KNeighborsRegressor (k=5, weights=distance, metric=euclidean)",hot_norm,test,0.0776,0.047,0.6328,False,../models/knn_5_neighbors_distance_euclidean_hot_norm.pkl
"KNeighborsRegressor (k=5, weights=distance, metric=euclidean)",hot_norm,test,113.0463,68.4474,0.6328,True,../models/knn_5_neighbors_distance_euclidean_hot_norm.pkl
"KNeighborsRegressor (k=5, weights=distance, metric=manhattan)",hot_norm,train,0.0,0.0,1.0,False,../models/knn_5_neighbors_distance_manhattan_hot_norm.pkl
"KNeighborsRegressor (k=5, weights=distance, metric=manhattan)",hot_norm,train,0.0,0.0,1.0,True,../models/knn_5_neighbors_distance_manhattan_hot_norm.pkl
"KNeighborsRegressor (k=5, weights=distance, metric=manhattan)",hot_norm,val,0.0775,0.046,0.6277,False,../models/knn_5_neighbors_distance_manhattan_hot_norm.pkl
"KNeighborsRegressor (k=5, weights=distance, metric=manhattan)",hot_norm,val,112.9989,67.0776,0.6277,True,../models/knn_5_neighbors_distance_manhattan_hot_norm.pkl
"KNeighborsRegressor (k=5, weights=distance, metric=manhattan)",hot_norm,test,0.077,0.0465,0.6382,False,../models/knn_5_neighbors_distance_manhattan_hot_norm.pkl
"KNeighborsRegressor (k=5, weights=distance, metric=manhattan)",hot_norm,test,112.2059,67.7833,0.6382,True,../models/knn_5_neighbors_distance_manhattan_hot_norm.pkl
"KNeighborsRegressor (k=15, weights=uniform, metric=euclidean)",hot_norm,train,0.0696,0.0429,0.699,False,../models/knn_15_neighbors_uniform_euclidean_hot_norm.pkl
"KNeighborsRegressor (k=15, weights=uniform, metric=euclidean)",hot_norm,train,101.4143,62.4952,0.699,True,../models/knn_15_neighbors_uniform_euclidean_hot_norm.pkl
