model,dataset,split,rmse,mae,r2,inversed,model_path
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=2, min_samples_leaf=1)",hot,train,32.4478,19.1278,0.9692,False,../models/rf_100_estimators_None_depth_2_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=2, min_samples_leaf=1)",hot,val,88.5233,51.5779,0.7715,False,../models/rf_100_estimators_None_depth_2_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=2, min_samples_leaf=1)",hot,test,88.4884,52.3829,0.775,False,../models/rf_100_estimators_None_depth_2_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=2, min_samples_leaf=5)",hot,train,68.4838,40.0372,0.8627,False,../models/rf_100_estimators_None_depth_2_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=2, min_samples_leaf=5)",hot,val,95.9339,57.3069,0.7317,False,../models/rf_100_estimators_None_depth_2_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=2, min_samples_leaf=5)",hot,test,96.4803,58.7153,0.7325,False,../models/rf_100_estimators_None_depth_2_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=2, min_samples_leaf=10)",hot,train,82.6743,49.9585,0.8,False,../models/rf_100_estimators_None_depth_2_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=2, min_samples_leaf=10)",hot,val,99.5714,60.4483,0.711,False,../models/rf_100_estimators_None_depth_2_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=2, min_samples_leaf=10)",hot,test,99.8441,61.6493,0.7135,False,../models/rf_100_estimators_None_depth_2_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=2, min_samples_leaf=20)",hot,train,93.2564,57.26,0.7455,False,../models/rf_100_estimators_None_depth_2_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=2, min_samples_leaf=20)",hot,val,103.0251,63.088,0.6906,False,../models/rf_100_estimators_None_depth_2_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=2, min_samples_leaf=20)",hot,test,103.2385,64.0985,0.6937,False,../models/rf_100_estimators_None_depth_2_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=10, min_samples_leaf=1)",hot,train,54.442,32.5175,0.9133,False,../models/rf_100_estimators_None_depth_10_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=10, min_samples_leaf=1)",hot,val,92.1918,54.8672,0.7522,False,../models/rf_100_estimators_None_depth_10_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=10, min_samples_leaf=1)",hot,test,92.3322,55.9699,0.755,False,../models/rf_100_estimators_None_depth_10_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=10, min_samples_leaf=5)",hot,train,68.3561,40.0,0.8633,False,../models/rf_100_estimators_None_depth_10_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=10, min_samples_leaf=5)",hot,val,95.7497,57.4017,0.7327,False,../models/rf_100_estimators_None_depth_10_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=10, min_samples_leaf=5)",hot,test,96.2941,58.6414,0.7336,False,../models/rf_100_estimators_None_depth_10_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=10, min_samples_leaf=10)",hot,train,82.7118,49.8992,0.7998,False,../models/rf_100_estimators_None_depth_10_minsplit_10_minleaf_hot.pkl
